league,market_id,volume_traded,lowest_stock,highest_stock,lowest_ratio,highest_ratio
Mirage,rogues-marker|divine,"{'rogues-marker': 780000, 'divine': 12}","{'rogues-marker': 65217308, 'divine': 0}","{'rogues-marker': 66192308, 'divine': 0}","{'rogues-marker': 65000, 'divine': 1}","{'rogues-marker': 65000, 'divine': 1}"
Mirage,rogues-marker|fusing,"{'rogues-marker': 0, 'fusing': 0}","{'rogues-marker': 12894, 'fusing': 0}","{'rogues-marker': 12895, 'fusing': 0}","{'rogues-marker': 0, 'fusing': 0}","{'rogues-marker': 0, 'fusing': 0}"
Mirage,the-wedding-gift|chaos,"{'the-wedding-gift': 31, 'chaos': 279}","{'the-wedding-gift': 77, 'chaos': 3749}","{'the-wedding-gift': 87, 'chaos': 4019}","{'the-wedding-gift': 1, 'chaos': 9}","{'the-wedding-gift': 1, 'chaos': 9}"
Mirage,abyss-scarab-of-emptiness|chaos,"{'abyss-scarab-of-emptiness': 218, 'chaos': 107}","{'abyss-scarab-of-emptiness': 553, 'chaos': 2019}","{'abyss-scarab-of-emptiness': 822, 'chaos': 2048}","{'abyss-scarab-of-emptiness': 1, 'chaos': 1}","{'abyss-scarab-of-emptiness': 3, 'chaos': 1}"
Mirage,coin-of-knowledge|chaos,"{'coin-of-knowledge': 914, 'chaos': 93021}","{'coin-of-knowledge': 274, 'chaos': 113764}","{'coin-of-knowledge': 449, 'chaos': 135326}","{'coin-of-knowledge': 1, 'chaos': 112}","{'coin-of-knowledge': 1, 'chaos': 91}"
Mirage,coin-of-knowledge|divine,"{'coin-of-knowledge': 129, 'divine': 45}","{'coin-of-knowledge': 736, 'divine': 597}","{'coin-of-knowledge': 879, 'divine': 606}","{'coin-of-knowledge': 2, 'divine': 1}","{'coin-of-knowledge': 4, 'divine': 1}"
Mirage,costly-curio|chaos,"{'costly-curio': 226, 'chaos': 1865}","{'costly-curio': 289, 'chaos': 17832}","{'costly-curio': 1353, 'chaos': 18441}","{'costly-curio': 1, 'chaos': 10}","{'costly-curio': 1, 'chaos': 6}"
Mirage,costly-curio|divine,"{'costly-curio': 0, 'divine': 0}","{'costly-curio': 102, 'divine': 8}","{'costly-curio': 102, 'divine': 8}","{'costly-curio': 0, 'divine': 0}","{'costly-curio': 0, 'divine': 0}"
Mirage,toxic-tidings|chaos,"{'toxic-tidings': 3, 'chaos': 3}","{'toxic-tidings': 0, 'chaos': 11}","{'toxic-tidings': 0, 'chaos': 13}","{'toxic-tidings': 1, 'chaos': 1}","{'toxic-tidings': 1, 'chaos': 1}"
Mirage,phoenix|chaos,"{'phoenix': 174, 'chaos': 1159}","{'phoenix': 2066, 'chaos': 1049}","{'phoenix': 2130, 'chaos': 1468}","{'phoenix': 1, 'chaos': 10}","{'phoenix': 2, 'chaos': 5}"
Mirage,essence-of-desolation|chaos,"{'essence-of-desolation': 284, 'chaos': 19209}","{'essence-of-desolation': 451, 'chaos': 42881}","{'essence-of-desolation': 581, 'chaos': 53001}","{'essence-of-desolation': 1, 'chaos': 78}","{'essence-of-desolation': 1, 'chaos': 46}"
Mirage,essence-of-desolation|divine,"{'essence-of-desolation': 157, 'divine': 50}","{'essence-of-desolation': 113, 'divine': 60}","{'essence-of-desolation': 262, 'divine': 66}","{'essence-of-desolation': 3, 'divine': 1}","{'essence-of-desolation': 5, 'divine': 1}"
Mirage,deafening-essence-of-envy|chaos,"{'deafening-essence-of-envy': 2253, 'chaos': 19542}","{'deafening-essence-of-envy': 1843, 'chaos': 15311}","{'deafening-essence-of-envy': 2620, 'chaos': 18344}","{'deafening-essence-of-envy': 1, 'chaos': 13}","{'deafening-essence-of-envy': 2, 'chaos': 11}"
Mirage,deafening-essence-of-envy|divine,"{'deafening-essence-of-envy': 3333, 'divine': 81}","{'deafening-essence-of-envy': 7317, 'divine': 63}","{'deafening-essence-of-envy': 9442, 'divine': 100}","{'deafening-essence-of-envy': 40, 'divine': 1}","{'deafening-essence-of-envy': 53, 'divine': 1}"
Mirage,muttering-essence-of-fear|chaos,"{'muttering-essence-of-fear': 0, 'chaos': 0}","{'muttering-essence-of-fear': 266, 'chaos': 32}","{'muttering-essence-of-fear': 269, 'chaos': 32}","{'muttering-essence-of-fear': 0, 'chaos': 0}","{'muttering-essence-of-fear': 0, 'chaos': 0}"
Mirage,frigid-fossil|chaos,"{'frigid-fossil': 632, 'chaos': 7222}","{'frigid-fossil': 76, 'chaos': 11096}","{'frigid-fossil': 190, 'chaos': 15565}","{'frigid-fossil': 1, 'chaos': 15}","{'frigid-fossil': 1, 'chaos': 10}"
Mirage,frigid-fossil|divine,"{'frigid-fossil': 95, 'divine': 4}","{'frigid-fossil': 260, 'divine': 26}","{'frigid-fossil': 280, 'divine': 49}","{'frigid-fossil': 20, 'divine': 1}","{'frigid-fossil': 25, 'divine': 1}"
Mirage,abandoned-wealth|chaos,"{'abandoned-wealth': 0, 'chaos': 0}","{'abandoned-wealth': 1737, 'chaos': 0}","{'abandoned-wealth': 1899, 'chaos': 0}","{'abandoned-wealth': 0, 'chaos': 0}","{'abandoned-wealth': 0, 'chaos': 0}"
Mirage,judging-voices|chaos,"{'judging-voices': 0, 'chaos': 0}","{'judging-voices': 60, 'chaos': 1586}","{'judging-voices': 78, 'chaos': 1586}","{'judging-voices': 0, 'chaos': 0}","{'judging-voices': 0, 'chaos': 0}"
Mirage,the-body|the-realm,"{'the-body': 0, 'the-realm': 0}","{'the-body': 1, 'the-realm': 0}","{'the-body': 1, 'the-realm': 0}","{'the-body': 0, 'the-realm': 0}","{'the-body': 0, 'the-realm': 0}"
Mirage,journey-tattoo-of-the-body|chaos,"{'journey-tattoo-of-the-body': 2, 'chaos': 93}","{'journey-tattoo-of-the-body': 67, 'chaos': 215}","{'journey-tattoo-of-the-body': 69, 'chaos': 228}","{'journey-tattoo-of-the-body': 1, 'chaos': 80}","{'journey-tattoo-of-the-body': 1, 'chaos': 13}"
Mirage,the-hook|chaos,"{'the-hook': 94, 'chaos': 2017}","{'the-hook': 155, 'chaos': 4816}","{'the-hook': 241, 'chaos': 6316}","{'the-hook': 1, 'chaos': 34}","{'the-hook': 1, 'chaos': 14}"
Mirage,the-hook|divine,"{'the-hook': 0, 'divine': 0}","{'the-hook': 494, 'divine': 2}","{'the-hook': 494, 'divine': 2}","{'the-hook': 0, 'divine': 0}","{'the-hook': 0, 'divine': 0}"
Mirage,cluster-fog|chaos,"{'cluster-fog': 1508, 'chaos': 244457}","{'cluster-fog': 388, 'chaos': 52108}","{'cluster-fog': 525, 'chaos': 72957}","{'cluster-fog': 1, 'chaos': 190}","{'cluster-fog': 1, 'chaos': 150}"
Mirage,cluster-fog|divine,"{'cluster-fog': 1853, 'divine': 1010}","{'cluster-fog': 9956, 'divine': 1732}","{'cluster-fog': 10831, 'divine': 2781}","{'cluster-fog': 3, 'divine': 2}","{'cluster-fog': 2, 'divine': 1}"
Mirage,runegraft-of-rotblood|chaos,"{'runegraft-of-rotblood': 9, 'chaos': 161}","{'runegraft-of-rotblood': 97, 'chaos': 4719}","{'runegraft-of-rotblood': 100, 'chaos': 4761}","{'runegraft-of-rotblood': 1, 'chaos': 37}","{'runegraft-of-rotblood': 1, 'chaos': 8}"
Mirage,screaming-essence-of-torment|chaos,"{'screaming-essence-of-torment': 75, 'chaos': 3}","{'screaming-essence-of-torment': 354, 'chaos': 98}","{'screaming-essence-of-torment': 402, 'chaos': 101}","{'screaming-essence-of-torment': 25, 'chaos': 1}","{'screaming-essence-of-torment': 25, 'chaos': 1}"
Mirage,three-faces-in-the-dark|chaos,"{'three-faces-in-the-dark': 5, 'chaos': 1}","{'three-faces-in-the-dark': 952, 'chaos': 2194}","{'three-faces-in-the-dark': 952, 'chaos': 2374}","{'three-faces-in-the-dark': 5, 'chaos': 1}","{'three-faces-in-the-dark': 5, 'chaos': 1}"
Mirage,simulacrum-splinter|chaos,"{'simulacrum-splinter': 3630, 'chaos': 224}","{'simulacrum-splinter': 25464, 'chaos': 21176}","{'simulacrum-splinter': 26661, 'chaos': 21279}","{'simulacrum-splinter': 10, 'chaos': 1}","{'simulacrum-splinter': 23, 'chaos': 1}"
Mirage,tainted-oil|chaos,"{'tainted-oil': 42, 'chaos': 62836}","{'tainted-oil': 151, 'chaos': 15710}","{'tainted-oil': 169, 'chaos': 26915}","{'tainted-oil': 1, 'chaos': 1540}","{'tainted-oil': 1, 'chaos': 1350}"
Mirage,tainted-oil|divine,"{'tainted-oil': 19, 'divine': 93}","{'tainted-oil': 1040, 'divine': 413}","{'tainted-oil': 1056, 'divine': 813}","{'tainted-oil': 1, 'divine': 5}","{'tainted-oil': 1, 'divine': 4}"
Mirage,the-samurais-eye|chaos,"{'the-samurais-eye': 18, 'chaos': 4204}","{'the-samurais-eye': 28, 'chaos': 3450}","{'the-samurais-eye': 83, 'chaos': 4560}","{'the-samurais-eye': 1, 'chaos': 270}","{'the-samurais-eye': 1, 'chaos': 106}"
Mirage,deft-fossil|chaos,"{'deft-fossil': 191, 'chaos': 2443}","{'deft-fossil': 859, 'chaos': 14824}","{'deft-fossil': 901, 'chaos': 16193}","{'deft-fossil': 1, 'chaos': 16}","{'deft-fossil': 1, 'chaos': 11}"
Mirage,deft-fossil|divine,"{'deft-fossil': 77, 'divine': 4}","{'deft-fossil': 1157, 'divine': 5}","{'deft-fossil': 2328, 'divine': 5}","{'deft-fossil': 19, 'divine': 1}","{'deft-fossil': 20, 'divine': 1}"
Mirage,blessed|chaos,"{'blessed': 3794, 'chaos': 609}","{'blessed': 10197, 'chaos': 6926}","{'blessed': 11554, 'chaos': 7176}","{'blessed': 4, 'chaos': 1}","{'blessed': 9, 'chaos': 1}"
Mirage,blessed|divine,"{'blessed': 559, 'divine': 2}","{'blessed': 2692, 'divine': 1}","{'blessed': 3246, 'divine': 1}","{'blessed': 159, 'divine': 1}","{'blessed': 400, 'divine': 1}"
Mirage,guardians-challenge|chaos,"{'guardians-challenge': 0, 'chaos': 0}","{'guardians-challenge': 0, 'chaos': 0}","{'guardians-challenge': 2, 'chaos': 0}","{'guardians-challenge': 0, 'chaos': 0}","{'guardians-challenge': 0, 'chaos': 0}"
Mirage,doedres-madness|chaos,"{'doedres-madness': 1000, 'chaos': 2}","{'doedres-madness': 16682, 'chaos': 0}","{'doedres-madness': 17182, 'chaos': 0}","{'doedres-madness': 500, 'chaos': 1}","{'doedres-madness': 500, 'chaos': 1}"
Mirage,devouring-fragment|chaos,"{'devouring-fragment': 657, 'chaos': 92729}","{'devouring-fragment': 882, 'chaos': 162004}","{'devouring-fragment': 1050, 'chaos': 178185}","{'devouring-fragment': 1, 'chaos': 150}","{'devouring-fragment': 1, 'chaos': 132}"
Mirage,devouring-fragment|divine,"{'devouring-fragment': 815, 'divine': 397}","{'devouring-fragment': 1044, 'divine': 1231}","{'devouring-fragment': 1482, 'divine': 1286}","{'devouring-fragment': 2, 'divine': 1}","{'devouring-fragment': 7, 'divine': 3}"
Mirage,coin-of-restoration|chaos,"{'coin-of-restoration': 316, 'chaos': 4}","{'coin-of-restoration': 41390, 'chaos': 0}","{'coin-of-restoration': 41740, 'chaos': 0}","{'coin-of-restoration': 55, 'chaos': 1}","{'coin-of-restoration': 141, 'chaos': 1}"
Mirage,the-poet|chaos,"{'the-poet': 0, 'chaos': 0}","{'the-poet': 27, 'chaos': 0}","{'the-poet': 27, 'chaos': 0}","{'the-poet': 0, 'chaos': 0}","{'the-poet': 0, 'chaos': 0}"
Mirage,allflame-ember-of-the-gilded|chaos,"{'allflame-ember-of-the-gilded': 121, 'chaos': 61189}","{'allflame-ember-of-the-gilded': 74, 'chaos': 101398}","{'allflame-ember-of-the-gilded': 94, 'chaos': 168306}","{'allflame-ember-of-the-gilded': 1, 'chaos': 528}","{'allflame-ember-of-the-gilded': 1, 'chaos': 492}"
Mirage,allflame-ember-of-the-gilded|divine,"{'allflame-ember-of-the-gilded': 104, 'divine': 186}","{'allflame-ember-of-the-gilded': 3851, 'divine': 7603}","{'allflame-ember-of-the-gilded': 3885, 'divine': 7709}","{'allflame-ember-of-the-gilded': 1, 'divine': 2}","{'allflame-ember-of-the-gilded': 1, 'divine': 1}"
Mirage,alone-in-the-darkness|chaos,"{'alone-in-the-darkness': 0, 'chaos': 0}","{'alone-in-the-darkness': 3188, 'chaos': 0}","{'alone-in-the-darkness': 3189, 'chaos': 0}","{'alone-in-the-darkness': 0, 'chaos': 0}","{'alone-in-the-darkness': 0, 'chaos': 0}"
Mirage,the-union|chaos,"{'the-union': 7, 'chaos': 21}","{'the-union': 0, 'chaos': 16405}","{'the-union': 0, 'chaos': 16705}","{'the-union': 1, 'chaos': 3}","{'the-union': 1, 'chaos': 3}"
Mirage,muttering-essence-of-contempt|chaos,"{'muttering-essence-of-contempt': 10, 'chaos': 5}","{'muttering-essence-of-contempt': 2, 'chaos': 48}","{'muttering-essence-of-contempt': 2, 'chaos': 49}","{'muttering-essence-of-contempt': 2, 'chaos': 1}","{'muttering-essence-of-contempt': 2, 'chaos': 1}"
Mirage,weeping-essence-of-suffering|chaos,"{'weeping-essence-of-suffering': 0, 'chaos': 0}","{'weeping-essence-of-suffering': 462, 'chaos': 147}","{'weeping-essence-of-suffering': 462, 'chaos': 147}","{'weeping-essence-of-suffering': 0, 'chaos': 0}","{'weeping-essence-of-suffering': 0, 'chaos': 0}"
Mirage,screaming-essence-of-zeal|chaos,"{'screaming-essence-of-zeal': 80, 'chaos': 72}","{'screaming-essence-of-zeal': 1573, 'chaos': 10}","{'screaming-essence-of-zeal': 1643, 'chaos': 24}","{'screaming-essence-of-zeal': 1, 'chaos': 1}","{'screaming-essence-of-zeal': 5, 'chaos': 1}"
Mirage,the-shortcut|chaos,"{'the-shortcut': 125, 'chaos': 1707}","{'the-shortcut': 535, 'chaos': 1317}","{'the-shortcut': 653, 'chaos': 1361}","{'the-shortcut': 1, 'chaos': 14}","{'the-shortcut': 1, 'chaos': 7}"
Mirage,mavens-chisel-of-proliferation|chaos,"{'mavens-chisel-of-proliferation': 1344, 'chaos': 86965}","{'mavens-chisel-of-proliferation': 361, 'chaos': 45491}","{'mavens-chisel-of-proliferation': 868, 'chaos': 77747}","{'mavens-chisel-of-proliferation': 1, 'chaos': 74}","{'mavens-chisel-of-proliferation': 1, 'chaos': 62}"
Mirage,mavens-chisel-of-proliferation|divine,"{'mavens-chisel-of-proliferation': 297, 'divine': 63}","{'mavens-chisel-of-proliferation': 3220, 'divine': 52}","{'mavens-chisel-of-proliferation': 4924, 'divine': 197}","{'mavens-chisel-of-proliferation': 4, 'divine': 1}","{'mavens-chisel-of-proliferation': 5, 'divine': 1}"
Mirage,who-asked|chaos,"{'who-asked': 78, 'chaos': 957}","{'who-asked': 240, 'chaos': 2041}","{'who-asked': 252, 'chaos': 2731}","{'who-asked': 1, 'chaos': 33}","{'who-asked': 1, 'chaos': 10}"
Mirage,who-asked|divine,"{'who-asked': 0, 'divine': 0}","{'who-asked': 15, 'divine': 0}","{'who-asked': 15, 'divine': 0}","{'who-asked': 0, 'divine': 0}","{'who-asked': 0, 'divine': 0}"
Mirage,teal-oil|chaos,"{'teal-oil': 1255, 'chaos': 201}","{'teal-oil': 14364, 'chaos': 132}","{'teal-oil': 14994, 'chaos': 197}","{'teal-oil': 1, 'chaos': 1}","{'teal-oil': 20, 'chaos': 1}"
Mirage,teal-oil|divine,"{'teal-oil': 0, 'divine': 0}","{'teal-oil': 963, 'divine': 0}","{'teal-oil': 963, 'divine': 0}","{'teal-oil': 0, 'divine': 0}","{'teal-oil': 0, 'divine': 0}"
Mirage,omen-of-death-dancing|chaos,"{'omen-of-death-dancing': 56, 'chaos': 170}","{'omen-of-death-dancing': 318, 'chaos': 480}","{'omen-of-death-dancing': 350, 'chaos': 502}","{'omen-of-death-dancing': 1, 'chaos': 4}","{'omen-of-death-dancing': 1, 'chaos': 1}"
Mirage,breach-scarab-of-splintering|chaos,"{'breach-scarab-of-splintering': 2062, 'chaos': 2054}","{'breach-scarab-of-splintering': 4525, 'chaos': 3365}","{'breach-scarab-of-splintering': 5250, 'chaos': 3628}","{'breach-scarab-of-splintering': 1, 'chaos': 2}","{'breach-scarab-of-splintering': 3, 'chaos': 1}"
Mirage,the-awakened|chaos,"{'the-awakened': 0, 'chaos': 0}","{'the-awakened': 29, 'chaos': 323}","{'the-awakened': 34, 'chaos': 323}","{'the-awakened': 0, 'chaos': 0}","{'the-awakened': 0, 'chaos': 0}"
Mirage,shrieking-essence-of-suffering|chaos,"{'shrieking-essence-of-suffering': 20, 'chaos': 1}","{'shrieking-essence-of-suffering': 952, 'chaos': 79}","{'shrieking-essence-of-suffering': 952, 'chaos': 80}","{'shrieking-essence-of-suffering': 20, 'chaos': 1}","{'shrieking-essence-of-suffering': 20, 'chaos': 1}"
Mirage,the-darkest-dream|chaos,"{'the-darkest-dream': 0, 'chaos': 0}","{'the-darkest-dream': 146, 'chaos': 0}","{'the-darkest-dream': 169, 'chaos': 0}","{'the-darkest-dream': 0, 'chaos': 0}","{'the-darkest-dream': 0, 'chaos': 0}"
Mirage,scarab-of-the-sinistral|chaos,"{'scarab-of-the-sinistral': 4986, 'chaos': 2318}","{'scarab-of-the-sinistral': 4786, 'chaos': 542}","{'scarab-of-the-sinistral': 7616, 'chaos': 715}","{'scarab-of-the-sinistral': 1, 'chaos': 1}","{'scarab-of-the-sinistral': 3, 'chaos': 1}"
Mirage,scarab-of-the-sinistral|divine,"{'scarab-of-the-sinistral': 0, 'divine': 0}","{'scarab-of-the-sinistral': 1786, 'divine': 0}","{'scarab-of-the-sinistral': 2752, 'divine': 0}","{'scarab-of-the-sinistral': 0, 'divine': 0}","{'scarab-of-the-sinistral': 0, 'divine': 0}"
Mirage,nameless-astrolabe|chaos,"{'nameless-astrolabe': 326, 'chaos': 37954}","{'nameless-astrolabe': 25, 'chaos': 26742}","{'nameless-astrolabe': 110, 'chaos': 30160}","{'nameless-astrolabe': 1, 'chaos': 129}","{'nameless-astrolabe': 1, 'chaos': 95}"
Mirage,nameless-astrolabe|divine,"{'nameless-astrolabe': 26, 'divine': 8}","{'nameless-astrolabe': 377, 'divine': 165}","{'nameless-astrolabe': 382, 'divine': 215}","{'nameless-astrolabe': 5, 'divine': 2}","{'nameless-astrolabe': 7, 'divine': 2}"
Mirage,the-road-to-power|chaos,"{'the-road-to-power': 13, 'chaos': 382}","{'the-road-to-power': 4, 'chaos': 2551}","{'the-road-to-power': 9, 'chaos': 2551}","{'the-road-to-power': 1, 'chaos': 70}","{'the-road-to-power': 1, 'chaos': 4}"
Mirage,abyss-scarab-of-profound-depth|chaos,"{'abyss-scarab-of-profound-depth': 92, 'chaos': 98}","{'abyss-scarab-of-profound-depth': 265, 'chaos': 1452}","{'abyss-scarab-of-profound-depth': 1121, 'chaos': 1492}","{'abyss-scarab-of-profound-depth': 1, 'chaos': 2}","{'abyss-scarab-of-profound-depth': 3, 'chaos': 1}"
Mirage,abyss-scarab-of-profound-depth|divine,"{'abyss-scarab-of-profound-depth': 20, 'divine': 2}","{'abyss-scarab-of-profound-depth': 100, 'divine': 0}","{'abyss-scarab-of-profound-depth': 110, 'divine': 0}","{'abyss-scarab-of-profound-depth': 10, 'divine': 1}","{'abyss-scarab-of-profound-depth': 10, 'divine': 1}"
Mirage,the-inventor|chaos,"{'the-inventor': 1014, 'chaos': 675}","{'the-inventor': 93, 'chaos': 862}","{'the-inventor': 105, 'chaos': 1536}","{'the-inventor': 3, 'chaos': 2}","{'the-inventor': 2, 'chaos': 1}"
Mirage,wailing-essence-of-anger|chaos,"{'wailing-essence-of-anger': 0, 'chaos': 0}","{'wailing-essence-of-anger': 2565, 'chaos': 1}","{'wailing-essence-of-anger': 2566, 'chaos': 1}","{'wailing-essence-of-anger': 0, 'chaos': 0}","{'wailing-essence-of-anger': 0, 'chaos': 0}"
Mirage,perfection|chaos,"{'perfection': 1, 'chaos': 1}","{'perfection': 829, 'chaos': 99}","{'perfection': 829, 'chaos': 99}","{'perfection': 1, 'chaos': 1}","{'perfection': 1, 'chaos': 1}"
Mirage,the-surgeon|chaos,"{'the-surgeon': 0, 'chaos': 0}","{'the-surgeon': 2187, 'chaos': 0}","{'the-surgeon': 2512, 'chaos': 0}","{'the-surgeon': 0, 'chaos': 0}","{'the-surgeon': 0, 'chaos': 0}"
Mirage,prismatic-catalyst|chaos,"{'prismatic-catalyst': 2065, 'chaos': 37323}","{'prismatic-catalyst': 5079, 'chaos': 23849}","{'prismatic-catalyst': 6511, 'chaos': 56159}","{'prismatic-catalyst': 1, 'chaos': 20}","{'prismatic-catalyst': 1, 'chaos': 15}"
Mirage,prismatic-catalyst|divine,"{'prismatic-catalyst': 550, 'divine': 34}","{'prismatic-catalyst': 474, 'divine': 304}","{'prismatic-catalyst': 679, 'divine': 307}","{'prismatic-catalyst': 14, 'divine': 1}","{'prismatic-catalyst': 19, 'divine': 1}"
Mirage,friendship|chaos,"{'friendship': 0, 'chaos': 0}","{'friendship': 16, 'chaos': 0}","{'friendship': 24, 'chaos': 0}","{'friendship': 0, 'chaos': 0}","{'friendship': 0, 'chaos': 0}"
Mirage,shrieking-essence-of-woe|chaos,"{'shrieking-essence-of-woe': 485, 'chaos': 340}","{'shrieking-essence-of-woe': 0, 'chaos': 943}","{'shrieking-essence-of-woe': 10, 'chaos': 1248}","{'shrieking-essence-of-woe': 2, 'chaos': 3}","{'shrieking-essence-of-woe': 3, 'chaos': 2}"
Mirage,runegraft-of-the-bound|chaos,"{'runegraft-of-the-bound': 47, 'chaos': 589}","{'runegraft-of-the-bound': 84, 'chaos': 3646}","{'runegraft-of-the-bound': 91, 'chaos': 4114}","{'runegraft-of-the-bound': 1, 'chaos': 17}","{'runegraft-of-the-bound': 1, 'chaos': 12}"
Mirage,anarchy-scarab-of-gigantification|chaos,"{'anarchy-scarab-of-gigantification': 3948, 'chaos': 1400}","{'anarchy-scarab-of-gigantification': 1284, 'chaos': 0}","{'anarchy-scarab-of-gigantification': 3226, 'chaos': 206}","{'anarchy-scarab-of-gigantification': 2, 'chaos': 1}","{'anarchy-scarab-of-gigantification': 4, 'chaos': 1}"
Mirage,anarchy-scarab-of-gigantification|divine,"{'anarchy-scarab-of-gigantification': 0, 'divine': 0}","{'anarchy-scarab-of-gigantification': 200, 'divine': 0}","{'anarchy-scarab-of-gigantification': 250, 'divine': 0}","{'anarchy-scarab-of-gigantification': 0, 'divine': 0}","{'anarchy-scarab-of-gigantification': 0, 'divine': 0}"
Mirage,timeless-karui-emblem|chaos,"{'timeless-karui-emblem': 385, 'chaos': 1057}","{'timeless-karui-emblem': 3134, 'chaos': 2080}","{'timeless-karui-emblem': 3259, 'chaos': 2435}","{'timeless-karui-emblem': 1, 'chaos': 4}","{'timeless-karui-emblem': 1, 'chaos': 2}"
Mirage,timeless-karui-emblem|divine,"{'timeless-karui-emblem': 50, 'divine': 1}","{'timeless-karui-emblem': 2247, 'divine': 0}","{'timeless-karui-emblem': 2247, 'divine': 0}","{'timeless-karui-emblem': 50, 'divine': 1}","{'timeless-karui-emblem': 50, 'divine': 1}"
Mirage,stacked-deck|chaos,"{'stacked-deck': 94620, 'chaos': 389314}","{'stacked-deck': 110718, 'chaos': 137279}","{'stacked-deck': 130213, 'chaos': 390323}","{'stacked-deck': 1, 'chaos': 5}","{'stacked-deck': 1, 'chaos': 3}"
Mirage,stacked-deck|divine,"{'stacked-deck': 671230, 'divine': 8543}","{'stacked-deck': 1102966, 'divine': 576}","{'stacked-deck': 1255535, 'divine': 2234}","{'stacked-deck': 36, 'divine': 1}","{'stacked-deck': 83, 'divine': 1}"
Mirage,sanctified-fossil|chaos,"{'sanctified-fossil': 137, 'chaos': 8629}","{'sanctified-fossil': 642, 'chaos': 12611}","{'sanctified-fossil': 702, 'chaos': 16708}","{'sanctified-fossil': 1, 'chaos': 76}","{'sanctified-fossil': 1, 'chaos': 55}"
Mirage,sanctified-fossil|divine,"{'sanctified-fossil': 114, 'divine': 32}","{'sanctified-fossil': 1411, 'divine': 0}","{'sanctified-fossil': 1597, 'divine': 0}","{'sanctified-fossil': 7, 'divine': 2}","{'sanctified-fossil': 15, 'divine': 4}"
Mirage,the-queen|chaos,"{'the-queen': 0, 'chaos': 0}","{'the-queen': 26, 'chaos': 0}","{'the-queen': 26, 'chaos': 0}","{'the-queen': 0, 'chaos': 0}","{'the-queen': 0, 'chaos': 0}"
Mirage,monochrome|chaos,"{'monochrome': 151, 'chaos': 11728}","{'monochrome': 36, 'chaos': 128837}","{'monochrome': 75, 'chaos': 136614}","{'monochrome': 1, 'chaos': 80}","{'monochrome': 1, 'chaos': 77}"
Mirage,monochrome|divine,"{'monochrome': 0, 'divine': 0}","{'monochrome': 166, 'divine': 0}","{'monochrome': 218, 'divine': 0}","{'monochrome': 0, 'divine': 0}","{'monochrome': 0, 'divine': 0}"
Mirage,anarchy-scarab-of-partnership|chaos,"{'anarchy-scarab-of-partnership': 632, 'chaos': 158}","{'anarchy-scarab-of-partnership': 5498, 'chaos': 201}","{'anarchy-scarab-of-partnership': 8366, 'chaos': 356}","{'anarchy-scarab-of-partnership': 4, 'chaos': 1}","{'anarchy-scarab-of-partnership': 4, 'chaos': 1}"
Mirage,misery-in-darkness|chaos,"{'misery-in-darkness': 0, 'chaos': 0}","{'misery-in-darkness': 54, 'chaos': 0}","{'misery-in-darkness': 84, 'chaos': 0}","{'misery-in-darkness': 0, 'chaos': 0}","{'misery-in-darkness': 0, 'chaos': 0}"
Mirage,misery-in-darkness|divine,"{'misery-in-darkness': 0, 'divine': 0}","{'misery-in-darkness': 3, 'divine': 0}","{'misery-in-darkness': 3, 'divine': 0}","{'misery-in-darkness': 0, 'divine': 0}","{'misery-in-darkness': 0, 'divine': 0}"
Mirage,the-gulf|chaos,"{'the-gulf': 5, 'chaos': 1144}","{'the-gulf': 25, 'chaos': 2956}","{'the-gulf': 36, 'chaos': 3338}","{'the-gulf': 1, 'chaos': 380}","{'the-gulf': 1, 'chaos': 191}"
Mirage,the-gulf|divine,"{'the-gulf': 0, 'divine': 0}","{'the-gulf': 148, 'divine': 0}","{'the-gulf': 148, 'divine': 20}","{'the-gulf': 0, 'divine': 0}","{'the-gulf': 0, 'divine': 0}"
Mirage,rebirth-and-renewal|chaos,"{'rebirth-and-renewal': 84, 'chaos': 1156}","{'rebirth-and-renewal': 134, 'chaos': 9792}","{'rebirth-and-renewal': 234, 'chaos': 11142}","{'rebirth-and-renewal': 2, 'chaos': 29}","{'rebirth-and-renewal': 1, 'chaos': 13}"
Mirage,imperial-legacy|chaos,"{'imperial-legacy': 132, 'chaos': 66}","{'imperial-legacy': 3846, 'chaos': 0}","{'imperial-legacy': 3934, 'chaos': 60}","{'imperial-legacy': 2, 'chaos': 1}","{'imperial-legacy': 2, 'chaos': 1}"
Mirage,treasure-hunter|chaos,"{'treasure-hunter': 0, 'chaos': 0}","{'treasure-hunter': 30, 'chaos': 0}","{'treasure-hunter': 70, 'chaos': 0}","{'treasure-hunter': 0, 'chaos': 0}","{'treasure-hunter': 0, 'chaos': 0}"
Mirage,ambush-scarab-of-discernment|chaos,"{'ambush-scarab-of-discernment': 5045, 'chaos': 7402}","{'ambush-scarab-of-discernment': 33976, 'chaos': 3747}","{'ambush-scarab-of-discernment': 40215, 'chaos': 5004}","{'ambush-scarab-of-discernment': 1, 'chaos': 2}","{'ambush-scarab-of-discernment': 1, 'chaos': 1}"
Mirage,ambush-scarab-of-discernment|divine,"{'ambush-scarab-of-discernment': 100, 'divine': 2}","{'ambush-scarab-of-discernment': 1752, 'divine': 6}","{'ambush-scarab-of-discernment': 1802, 'divine': 6}","{'ambush-scarab-of-discernment': 50, 'divine': 1}","{'ambush-scarab-of-discernment': 50, 'divine': 1}"
